GEOID101,GEOID102,st_geometr
4200323616,4200339624,ST_MultiLineString
4200323616,4200353136,ST_MultiLineString
4200324160,4200361000,ST_MultiLineString
4200324160,4200369584,ST_MultiLineString
4200324160,4200369776,ST_MultiLineString
4200325400,4200327608,ST_MultiLineString
4200325400,4200332832,ST_MultiLineString
4200325400,4200376104,ST_MultiLineString
4200325400,4200382800,ST_MultiLineString
4200325400,4201914320,ST_MultiLineString
4200325400,4201910000,ST_MultiLineString
4200325904,4200350784,ST_MultiLineString
4200325904,4200355016,ST_MultiLineString
4200325904,4212565376,ST_MultiLineString
4200325904,4200732392,ST_LineString
4200325904,4200735640,ST_MultiLineString
4200325904,4200736776,ST_MultiLineString
4200326592,4200354816,ST_MultiLineString
4200326592,4200385184,ST_MultiLineString
4200326592,4200385188,ST_MultiLineString
4200326896,4200337955,ST_MultiLineString
4200326896,4200382848,ST_MultiLineString
4200326896,4212511424,ST_MultiLineString
4200326896,4212550408,ST_MultiLineString
4200326896,4212553496,ST_MultiLineString
4200326896,4212578432,ST_MultiLineString
4200326896,4212966376,ST_MultiLineString
4200327120,4200332624,ST_MultiLineString
4200327120,4200336808,ST_MultiLineString
4200327120,4200356384,ST_MultiLineString
4200327120,4200361000,ST_MultiLineString
4200327552,4200345900,ST_MultiLineString
4200327552,4200347696,ST_MultiLineString
4200327552,4200356392,ST_MultiLineString
4200327552,4200360272,ST_MultiLineString
4200327552,4200366264,ST_MultiLineString
4200327552,4200369416,ST_MultiLineString
4200327552,4200722264,ST_MultiLineString
4200327608,4200332624,ST_MultiLineString
4200327608,4200336808,ST_MultiLineString
4200327608,4200372968,ST_MultiLineString
4200327608,4200376104,ST_MultiLineString
4200327608,4200382800,ST_MultiLineString
4200329432,4200343064,ST_MultiLineString
4200329432,4200343408,ST_MultiLineString
4200329432,4200346256,ST_MultiLineString
4200329432,4200362320,ST_MultiLineString
4200329432,4200383512,ST_MultiLineString
4200329592,4200333312,ST_MultiLineString
4200329592,4200339624,ST_MultiLineString
4200329592,4200353136,ST_MultiLineString
4200331256,4200361000,ST_MultiLineString
4200331256,4200368388,ST_MultiLineString
4200332328,4200336808,ST_MultiLineString
4200332328,4200345900,ST_MultiLineString
4200332328,4200364528,ST_MultiLineString
4200332328,4200369584,ST_MultiLineString
4200332328,4200382800,ST_MultiLineString
4200332624,4200336808,ST_MultiLineString
4200332624,4200356088,ST_MultiLineString
4200332624,4200356384,ST_MultiLineString
4200332624,4200361536,ST_MultiLineString
4200332624,4200372968,ST_MultiLineString
4200332832,4200376104,ST_MultiLineString
4200332832,4200527784,ST_MultiLineString
4200332832,4212900892,ST_MultiLineString
4200332832,4212944864,ST_MultiLineString
4200332832,4201910000,ST_MultiLineString
4200333312,4200353136,ST_MultiLineString
4200333592,4200368388,ST_MultiLineString
4200335424,4200352320,ST_MultiLineString
4200335424,4200361000,ST_MultiLineString
4200335424,4200383200,ST_MultiLineString
4200336808,4200356384,ST_MultiLineString
4200336808,4200369584,ST_MultiLineString
4200336808,4200382800,ST_MultiLineString
4200337000,4200361000,ST_MultiLineString
4200337955,4200343408,ST_MultiLineString
4200337955,4200361328,ST_MultiLineString
4200337955,4200372400,ST_MultiLineString
4200337955,4200382848,ST_MultiLineString
4200337955,4200383512,ST_MultiLineString
4200337955,4212578432,ST_MultiLineString
4200339312,4200346264,ST_MultiLineString
4200339312,4200353136,ST_MultiLineString
4200339312,4200361000,ST_MultiLineString
4200339312,4200365352,ST_MultiLineString
4200339312,4200374648,ST_MultiLineString
4200339624,4200353136,ST_MultiLineString
4200339624,4200356392,ST_MultiLineString
4200339624,4200366264,ST_MultiLineString
4200342368,4200342392,ST_MultiLineString
4200342368,4200702288,ST_MultiLineString
4200342368,4200732680,ST_MultiLineString
4200342392,4200702288,ST_MultiLineString
4200343064,4200343408,ST_MultiLineString
4200343064,4200346256,ST_MultiLineString
4200343064,4200362320,ST_MultiLineString
